ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
90731,21,10,2,2,2,16,97,121.5,0,56,0,95.5,104.5,0,62,0,61944,0.00034,0.000258298,0.000161,,
90732,11,1,0,0,0,6,112,143,0,74,0,114,136,0,77,0,23067,0.00048,0.000260112,0.000043,,
90744,10,2,0,0,0,14,147,173,0,79,0,138,167,0,82,0,52800,0.00019,0.000265152,0.000038,,
90745,998,2,1,1,0,17,152,149,329,96,36,145,146,232.5,110,41,57397,0.01739,0.000296183,0.000035,,
90746,459,3,1,1,0,10,232,247,0,113,38,210.5,218.5,0,129.5,0,27091,0.01694,0.000369126,0.000111,,
90755,1,3,1,1,1,4,126.5,143.5,0,97,273,135.5,139,0,95,273,11521,0.00009,0.000347192,0.000260,,
90802,3,9,2,2,1,7,148,152,254,70.5,38,118,139,0,71,38,40434,0.00007,0.000173122,0.000223,,
90803,0,4,0,0,0,6,144,173,0,78,0,152,175,0,94.5,0,31526,0.00000,0.000190319,0.000127,,
90805,24,2,0,0,0,16,141,219,0,61.5,0,140,204.5,0,62,0,92402,0.00026,0.000173156,0.000022,,
90806,3,1,0,0,0,9,80,96.5,0,68,0,86,101,0,68,0,41664,0.00007,0.000216014,0.000024,,
90807,2,3,0,0,0,8,121,135.5,0,56.5,36,123,131.5,0,76.5,41,33101,0.00006,0.000241685,0.000091,,
90808,5,4,1,1,0,19,158,161,0,78,0,151,159,0,63.5,0,39317,0.00013,0.000483252,0.000102,,
90810,93,2,0,0,0,9,148,225,0,72.5,0,157,196.5,0,64.5,0,35833,0.00260,0.000251165,0.000056,,
90813,0,2,0,0,0,13,169,210.5,0,83.5,0,184,231.5,0,76,0,51241,0.00000,0.000253703,0.000039,,
90814,0,1,0,0,0,3,120.5,174,0,68,33,115,151.5,0,60,33,19471,0.00000,0.000154075,0.000051,,
90815,0,2,0,0,0,18,130,200,0,71,0,126,174.5,0,67,0,43023,0.00000,0.000418381,0.000046,,
90840,0,1,1,1,0,1,107,153,0,71,0,93.5,141,0,68,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,
91001,492,4,2,2,0,15,222.5,311.5,0,91.5,0,229,310,0,104,0,35475,0.01387,0.000422833,0.000113,,
